time,Classification,Closed PnL,Size USD,Account,sentiment_numeric,rolling_corr,volatility,day_of_week
2023-08-27,Neutral,0.0,0.0,0,2,,0.0,6
2023-08-28,Neutral,0.0,0.0,0,2,,0.0,0
2023-08-29,Neutral,0.0,0.0,0,2,,0.0,1
2023-08-30,Neutral,0.0,0.0,0,2,,0.0,2
2023-08-31,Neutral,0.0,0.0,0,2,,0.0,3
2023-09-01,Neutral,0.0,0.0,0,2,,0.0,4
2023-09-02,Neutral,0.0,0.0,0,2,,0.0,5
2023-09-03,Neutral,0.0,0.0,0,2,,0.0,6
2023-09-04,Neutral,0.0,0.0,0,2,,0.0,0
2023-09-05,Neutral,0.0,0.0,0,2,,0.0,1
2023-09-06,Neutral,0.0,0.0,0,2,,0.0,2
2023-09-07,Neutral,0.0,0.0,0,2,,0.0,3
2023-09-08,Neutral,0.0,0.0,0,2,,0.0,4
2023-09-09,Neutral,0.0,0.0,0,2,,0.0,5
2023-09-10,Neutral,0.0,0.0,0,2,,0.0,6
2023-09-11,Neutral,0.0,0.0,0,2,,0.0,0
2023-09-12,Neutral,0.0,0.0,0,2,,0.0,1
2023-09-13,Neutral,0.0,0.0,0,2,,0.0,2
2023-09-14,Neutral,0.0,0.0,0,2,,0.0,3
2023-09-15,Neutral,0.0,0.0,0,2,,0.0,4
2023-09-16,Neutral,0.0,0.0,0,2,,0.0,5
2023-09-17,Neutral,0.0,0.0,0,2,,0.0,6
2023-09-18,Neutral,0.0,0.0,0,2,,0.0,0
2023-09-19,Neutral,0.0,0.0,0,2,,0.0,1
2023-09-20,Neutral,0.0,0.0,0,2,,0.0,2
2023-09-21,Neutral,0.0,0.0,0,2,,0.0,3
2023-09-22,Neutral,0.0,0.0,0,2,,0.0,4
2023-09-23,Neutral,0.0,0.0,0,2,,0.0,5
2023-09-24,Neutral,0.0,0.0,0,2,,0.0,6
2023-09-25,Neutral,0.0,0.0,0,2,,0.0,0
2023-09-26,Neutral,0.0,0.0,0,2,,0.0,1
2023-09-27,Neutral,0.0,0.0,0,2,,0.0,2
2023-09-28,Neutral,0.0,0.0,0,2,,0.0,3
2023-09-29,Neutral,0.0,0.0,0,2,,0.0,4
2023-09-30,Neutral,0.0,0.0,0,2,,0.0,5
2023-10-01,Neutral,0.0,0.0,0,2,,0.0,6
2023-10-02,Neutral,0.0,0.0,0,2,,0.0,0
2023-10-03,Neutral,0.0,0.0,0,2,,0.0,1
2023-10-04,Neutral,0.0,0.0,0,2,,0.0,2
2023-10-05,Neutral,0.0,0.0,0,2,,0.0,3
